card_id,ops_value,intel_oc,intel_ec,card_type,reaction_type,title,subtitle,card_text,south_pacific,remove_if_event_played,draw_card,replace_from_discard,reshuffle_deck,pw_change,isr_end,isr_start,intel_status,logistics_value,wie_level,china,india,sub,weather,kamikaze
1,3,-,-,Military,,Operation Z,Attack on Pearl Harbor,"Activate: Hex 3705; CV Akagi, CV Soryu, CV Shokaku, and BB Kongo 1
Intelligence: Surprise Attack
Condtions: These 4 naval units cannot be activated again during this game turn.  Naval units may move 18 hexes.  Must declare hex 5808 (Oahu) a Battle hex.  Allied player does not roll during the AIr Naval Combat Segment and units defend at 1/2 strength.  US Political Will marker is moved +8.  The US CVs in hexes 5410/5609 cannot be attacked and must conduct post battle movement to 5808.
May only be played as an event as the first card of the December 1941 game turn.
Remove from play if use as an event.",,Y,,,,8,,,Surprise,,,,,,,
2,3,-,-,Military,,IAI-Operation No.1,Conquest of SE Asia,"Activate: Any units within range of any Japanese HQ.
Logistic Value: 20
Intelligence: Surprise Attack
Condtions: Use the offensives efficiency of all Japanese HQ.  A total of 26 units may be activated.  If a Japanese naval unit enters a Malaysian coastal hex, Force Z automatically reacts into the hex during reaction movement.  If more than one hex meets this condition, then the Allied player chooses.  No Allied air units project ZOI during this Offensive.
May only be played as an event as the second card of the December 1941 game turn.
Remove from play if use as an event.",,Y,,,,,,,Surprise,20,,,,,,
3,2,4,-,Military,,"Col. Tsugi, Unit 82",Jungle Warfare,"Activate: Any HQ
Logistic Value: 3
Intelligence: Surprise Attack
Conditions: Only Japanese ground units may be activated.
Bonus: The Japanese player gains a +4 die roll modification in any ground combat that occurs in a Malaya, Jugnle or Mixed terrain hex for the duration of this operation.",,,,,,,,,Surprise,3,,,,,,
4,1,3,-,Reaction,Intelligence,JN25 Code Change,,"Intelligence: Intercept
Draw one Strategy Card.",,,Y,,,,,,Intercept,,,,,,,
5,2,4,-,Resource,,Japanese Aircraft Production Efficiency,War Crime,"2 Air Replacements: The Japanese receive 2 air replacement steps.  These steps may be used immediately or recorded as replacement steps for future use.
Remove from play if use as an event.",,Y,,,,,,,,,,,,,,
6,2,4,-,Political,,China Operation,Doolittle Raid Reprisal,"Move the China marker one box to the left toward Government Collaped box, unless this would put the China marker in the China Collapsed box, in which case no effect.
Remove from play if use as an event.",,Y,,,,,,,,,,1,,,,
7,2,4,-,Political,,US Joint Staff Debate,US Inter-Service Rivalry,"Flip the US Inter-Service Rivalry Marker from its Strategic Agreement to its Inter-Service Rivalry side.  No additional impact if Inter-Service Rivalry is already in effect.
Draw one Strategy Card.",,,Y,,,,Y,,,,,,,,,
8,3,5,7,Military,,Operation C,Indian Ocean Raid,"Activate: Any HQ.
Logistic Value: 4
Conditions: May activate only Naval units.
Bonus: Add 1 to all air-naval battle die rolls if any Commonwealth naval units are present in the battle.",,,,,,,,,,4,,,,,,
9,3,5,7,Military,,Rear Admiral Matami Ugaki,Seizure of Hawaiian Islands,"Activation: Any HQ.
Logistic Value: 6
Conditions: Maximum 1 ground (any size) unit may be activated.
Bonus: Naval units may move up to 21 hexes.",Y,,,,,,,,,6,,,,,,
10,3,5,7,Military,,2nd Operational Phase,Solomon Island Expansion,"Activation: Any HQ.
Logistic Value: 6
Conditions: May only be played as an event if the Japanese Inter-Service Rivalry marker is on its Strategic Agreement side.",,,,,,,,,,6,,,,,,
11,2,4,-,Political,,US/British Second Front Conference - Germany First,US Inter-Service Rivalry,"Flip the US Inter-Service Rivalry Marker from its Strategic Agreement to its Inter-Service Rivalry side.  No additional impact if Inter-Service Rivalry is already in effect.
Draw one Strategy Card.",,,Y,,,,,Y,,,,,,,,
12,3,5,8,Military,,Operation MI,Battle of Midway,"Activation: Any HQ.
Logistic Value: 8
Conditions: All battles must be fought in one hex islands.
Long Range Reconnaissance of Pearl Harbor: If French Shoals (5508) is not in an Allied air ZOI or within 3 hexes of a US CA naval unit, then the Allies add +4 to any intelligence die roll due to superior Japanese information security.",,,,,,,,,,8,,,,,,
13,2,4,-,Reaction,Intelligence,JN 25 Code Change,28-May-42,"Intelligence: Intercept
Conditions: May be played after an intelligence die roll, but not after the play of another intelligence reaction card.
Remove from play if use as an event.",Y,Y,,,,,,,Intercept,,,,,,,
14,3,5,7,Military,,Operation MO,Battle of the Coral Sea,"Activation: Any HQ.
Logistic Value: 5
Condtions: Only one ground unit (of any size) may be activated.
Fortuitous Rain Squalls: Japanese CV (not CVL) naval units have their defense strength increased by 2 for the duration of the Offensive.",,,,,,,,,,5,,,,,,
15,3,5,-,Political,,Mahatma Gandhi,Independence Campaign,"Move the India marker to the unrest box, and if already in the unrest box move the marker to the Unstable box.
Bonus: The Allies lose 1 ground replacement step next game turn and any other ground replacement steps available during the next game turn can only be used for non-Commonwealth ground units.
Remove from played if used as an event.",,Y,,,,,,,,,,,1,,,
16,3,5,7,Military,,Operation RI,New Guinea Offensive,"Activation: Any HQ.
Logistic Value: 4
Conditions: Only air and ground units may be activated.",Y,,,,,,,,,4,,,,,,
17,2,4,-,Reaction,Counteroffensive,Japanese Counterattack at Savo Island,,"Activation: Any HQ.
Logistic Value: 3
Intelligence: Intercept.
Conditions: Only air or naval units may be activated.
Japanese Night Fighting Advantage: Japanese CA, CL and APD naval units have 2 added to their attack strength for all battles fought during the current Offensive.
Draw one Strategy Card.",Y,,Y,,,,,,Intercept,3,,,,,,
18,1,3,-,Political,,Bridge on River Kwai,Death Railroad,"If the Japanese control hexes 2108 and 2109, they become Trans Routes for the remainder of the game.  Place the Bridge Over the River Kwai marker near this location as a reminder.
Remove from play if used as an event.",,Y,,,,,,,,,,,,,,
19,2,4,-,Reaction,Weather,Weather,Monsoon Rains Cancel Offensive,Allied Offensive is canceled. All units are placed back at their starting locations.,,,,,,,,,,,,,,,Y,
20,2,3,5,Military,,Naval Battle of Guadalcanal,,"Activation: Any HQ.
Logistic Value: 5
Airfield Bombardment: If a Japanese BB naval unit occupies a battle hex that contains an Allied air unit, but no Allied BB naval unit, then the Allied air unit is reduced (Japanese player's choice) one step prior to air-naval combat (even if this eliminates the unit).",Y,,,,,,,,,5,,,,,,
21,3,5,-,Reaction,Personage,Mahatma Gandhi,Worker Strikes in India,"Can only be played in reaction to an Offensive activated by the SEAC HQ.  Cancels a SEAC HQ offensive and the Allies must reduce one full strength Indian Corps (cannot eliminate a reduced unit, if none available, no additional effect).
Draw one Strategy Card.
Remove from play if used as an event.",,Y,Y,,,,,,,,,,,,,
22,2,4,-,Reaction,Weather,Weather,Monsoon Rains Cancel Offensive,Allied Offensive is canceled. All units are placed back at their starting locations.,,,,,,,,,,,,,,,Y,
23,2,4,6,Military,,Operation RE,Attack on Milne Bay,"Activation: Any HQ.
Logistic Value: 3
Elite Units: The Japanese player gains a +1 ground combat die modifier if any brigade size ground units are involved in a ground combat during this Offensive.",Y,,,,,,,,,3,,,,,,
24,1,3,-,Reaction,Attack,Submarine Attack,,"Play during an offensive; at the end of all combat against any active Allied naval units or against any active Allied naval unit, if no battle hexes were declared during the Offensive.  On a die roll of:
0-4: Allies lose one naval step (Japanese choice; can eliminate a unit).
5-9: No Effect.
Draw one Strategy Card.",,,Y,,,,,,,,,,,1,,
